source,source_product_id,source_sku,name,price,currency,image_url,description,detail,product_url,category_path,scraped_at,raw
seoudi,8686245,721688842941,Water Kind Sparkling Water - 250 ml,39.95,EGP,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/7/2/721688842941.jpg,,,https://seoudisupermarket.com/en/water-kind-sparkling-water-250-ml,Sparkling Water,2026-06-09T12:37:30.602646+00:00,"{""stock_status"": ""IN_STOCK""}"
seoudi,9010469,9000088600410,Water Gun - A-1991,70,EGP,https://mcprod.seoudisupermarket.com/media/catalog/product/placeholder/default/demo_no_image_2.png,,,https://seoudisupermarket.com/en/water-gun-a-1991,Water Toys & Activites,2026-06-09T12:37:30.602760+00:00,"{""stock_status"": ""IN_STOCK""}"
seoudi,8571372,9000088600403,Water Gun - Model 3337,99,EGP,https://mcprod.seoudisupermarket.com/media/catalog/product/placeholder/default/demo_no_image_2.png,,,https://seoudisupermarket.com/en/water-gun-model-3337,Water Toys & Activites,2026-06-09T12:37:30.602801+00:00,"{""stock_status"": ""IN_STOCK""}"
seoudi,47142,4005900420633,Nivea Rose Water Micellar Cleansing Water - 400 ml,316.5,EGP,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/4/0/4005900420633.jpg,"Over 100 years ago, NIVEA invented modern skin care with NIVEA Creme. Today, millions of people all over the world, all with different types of skin, rely on the NIVEA brand. That is why NIVEA researchers work extensively with different skin types and the different care requirements brought about by culture, gender and age. Thanks to this approach, NIVEA have developed numerous innovative skin care products over the past few decades – from deodorants to sunscreen products.",,https://seoudisupermarket.com/en/nivea-rose-water-micellar-cleansing-water-400-ml,Facial Cleansers,2026-06-09T12:37:30.607139+00:00,"{""stock_status"": ""IN_STOCK""}"
seoudi,8823405,6972885811757,Water Bottle for Kids - 600 ml,290,EGP,https://mcprod.seoudisupermarket.com/media/catalog/product/placeholder/default/demo_no_image_2.png,,,https://seoudisupermarket.com/en/water-bottle-for-kids-600-ml,Water Bottles,2026-06-09T12:37:30.607206+00:00,"{""stock_status"": ""IN_STOCK""}"
seoudi,8571321,8422347212401,"Water Gun, 2 Barrels - 42 cm",99,EGP,https://mcprod.seoudisupermarket.com/media/catalog/product/placeholder/default/demo_no_image_2.png,,,https://seoudisupermarket.com/en/water-gun-2-barrels-42-cm,Water Toys & Activites,2026-06-09T12:37:30.607237+00:00,"{""stock_status"": ""IN_STOCK""}"
seoudi,8571324,8422347212402,"Water Gun, 2 Barrels - 52 cm",119,EGP,https://mcprod.seoudisupermarket.com/media/catalog/product/placeholder/default/demo_no_image_2.png,,,https://seoudisupermarket.com/en/water-gun-2-barrels-52-cm,Water Toys & Activites,2026-06-09T12:37:30.607260+00:00,"{""stock_status"": ""IN_STOCK""}"
seoudi,8987718,0761742146523,Waterkind Sparkling Strawberry Water - 250 ml,39.95,EGP,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/7/6/761742146523.jpg,,,https://seoudisupermarket.com/en/waterkind-sparkling-strawberry-water-250-ml,Sparkling Water,2026-06-09T12:37:30.607287+00:00,"{""stock_status"": ""IN_STOCK""}"
seoudi,8947326,0721688842910,Waterkind Sparkling Water Sugar Free - 250 ml,19.95,EGP,https://mcprod.seoudisupermarket.com/media/catalog/product/cache/da04281da854ec319aff2207cb4cdbf5/0/7/0721688842910.jpg,,,https://seoudisupermarket.com/en/waterkind-sparkling-water-sugar-free-250-ml,Sparkling Water,2026-06-09T12:37:30.607311+00:00,"{""stock_status"": ""IN_STOCK""}"
seoudi,8570925,161991,Kids Water Cannon - 28.3 cm,59,EGP,https://mcprod.seoudisupermarket.com/media/catalog/product/placeholder/default/demo_no_image_2.png,,,https://seoudisupermarket.com/en/kids-water-cannon-28-3 cm,Water Toys & Activites,2026-06-09T12:37:30.607629+00:00,"{""stock_status"": ""IN_STOCK""}"
